highway,km,buraco,remendo,trinca,placa,drenagem
146,455.0,0,0,12,0,0
146,456.0,74,37,1739,37,999
146,457.0,74,37,1776,0,740
146,458.0,0,0,1739,185,518
146,459.0,0,37,1813,111,703
146,460.0,0,37,1813,74,851
146,461.0,74,185,1739,111,296
146,462.0,0,962,1813,37,222
146,463.0,0,37,1813,74,481
146,464.0,111,148,1813,333,444
146,465.0,0,185,1813,185,222
146,466.0,0,37,1813,111,370
146,467.0,148,296,1739,111,814
146,468.0,37,74,1813,0,518
146,469.0,37,185,1776,185,518
146,470.0,37,148,1776,74,185
146,471.0,37,333,1850,148,296
146,472.0,444,185,1776,185,629
146,473.0,0,185,1850,148,296
146,474.0,148,0,1776,0,555
146,475.0,0,37,1813,37,111
146,476.0,0,37,1813,74,814
146,477.0,111,37,1813,74,444
146,478.0,0,37,1813,37,407
146,479.0,37,0,1850,0,444
146,480.0,37,0,1850,37,703
146,481.0,111,37,1813,74,629
146,482.0,37,37,1813,74,1110
146,483.0,185,0,1739,37,962
146,484.0,111,222,1813,37,1110
146,485.0,0,148,1850,37,481
146,486.0,111,111,1813,37,592
146,487.0,37,111,1850,37,703
146,488.0,185,0,1813,296,1073
146,489.0,37,0,1850,37,740
146,490.0,148,111,1813,37,925
146,491.0,222,111,1850,259,629
146,492.0,32,16,768,16,240
146,493.0,32,32,768,16,80
146,494.0,80,48,768,80,128
146,495.0,80,0,736,16,464
146,496.0,112,32,752,32,352
146,497.0,96,16,752,144,304
146,498.0,16,0,784,128,480
146,499.0,64,0,752,96,416
146,500.0,96,0,768,48,336
146,501.0,32,16,752,16,464
146,502.0,272,96,768,80,432
146,503.0,48,64,784,144,288
146,504.0,0,64,720,176,368
146,505.0,64,208,784,224,576
146,506.0,64,80,768,144,480
146,507.0,52,143,637,52,442
146,508.0,39,130,637,26,286
146,509.0,26,91,624,78,390
146,510.0,130,52,637,208,312
146,511.0,26,104,624,130,429
146,512.0,0,0,65,39,26
